OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
FORMOSAT-8A,2025-276A,66666,PAY,+,ROC,2025-11-28,AFWTR,,95.93,97.65,568,559,,,EA,ORB
PELICAN-5,2025-276B,66667,PAY,+,US,2025-11-28,AFWTR,,93.75,97.39,459,457,,,EA,ORB
SARI-1,2025-276C,66668,PAY,+,SAUD,2025-11-28,AFWTR,,93.96,97.40,472,464,,,EA,ORB
SARI-2,2025-276D,66669,PAY,+,SAUD,2025-11-28,AFWTR,,94.01,97.40,475,466,,,EA,ORB
HUNITY,2025-276E,66670,PAY,+,HUN,2025-11-28,AFWTR,,94.04,97.40,477,468,,,EA,ORB
ANISCSAT-1,2025-276F,66671,PAY,+,AZER,2025-11-28,AFWTR,,94.54,97.41,501,492,,,EA,ORB
BRO-17,2025-276G,66672,PAY,+,FR,2025-11-28,AFWTR,,94.83,97.41,516,505,,,EA,ORB
TRANSPORTER-15 OBJECT H,2025-276H,66673,PAY,+,TBD,2025-11-28,AFWTR,,94.42,97.41,495,486,,,EA,ORB
BRO-20,2025-276J,66674,PAY,+,FR,2025-11-28,AFWTR,,94.82,97.41,515,505,,,EA,ORB
VEERY-0G,2025-276K,66675,PAY,+,US,2025-11-28,AFWTR,,94.60,97.41,504,495,,,EA,ORB
TRANSPORTER-15 OBJECT L,2025-276L,66676,PAY,+,TBD,2025-11-28,AFWTR,,94.75,97.41,512,502,,,EA,ORB
AE5RC,2025-276M,66677,PAY,+,JPN,2025-11-28,AFWTR,,94.44,97.41,496,487,,,EA,ORB
OTTER SDM,2025-276N,66678,PAY,+,GER,2025-11-28,AFWTR,,94.69,97.41,509,499,,,EA,ORB
LILIUM-2,2025-276P,66679,PAY,+,ROC,2025-11-28,AFWTR,,94.84,97.41,516,506,,,EA,ORB
LEMUR-2-DEANANDMAEVE,2025-276Q,66680,PAY,+,US,2025-11-28,AFWTR,,94.74,97.41,511,501,,,EA,ORB
TRANSPORTER-15 OBJECT R,2025-276R,66681,PAY,+,TBD,2025-11-28,AFWTR,,94.34,97.40,490,482,,,EA,ORB
ION SCV-022,2025-276S,66682,PAY,+,IT,2025-11-28,AFWTR,,96.13,97.52,576,570,,,EA,ORB
6GSTARLAB,2025-276T,66683,PAY,+,SPN,2025-11-28,AFWTR,,94.81,97.42,514,505,,,EA,ORB
MICE-1,2025-276U,66684,PAY,+,GREC,2025-11-28,AFWTR,,94.75,97.42,511,502,,,EA,ORB
AE5RA,2025-276V,66685,PAY,+,JPN,2025-11-28,AFWTR,,94.44,97.41,495,488,,,EA,ORB
LEMUR-2-STAS-GORBUK,2025-276W,66686,PAY,+,US,2025-11-28,AFWTR,,94.73,97.42,510,501,,,EA,ORB
LEO EXPRESS 3,2025-276X,66687,PAY,+,US,2025-11-28,AFWTR,,94.57,97.42,501,495,,,EA,ORB
WISDOM A,2025-276Y,66688,PAY,+,HUN,2025-11-28,AFWTR,,94.73,97.41,510,501,,,EA,ORB
AC1-003,2025-276Z,66689,PAY,+,UK,2025-11-28,AFWTR,,94.83,97.41,513,507,,,EA,ORB
TRANSPORTER-15 OBJECT AA,2025-276AA,66690,PAY,+,TBD,2025-11-28,AFWTR,,94.76,97.41,511,503,,,EA,ORB
TRANSPORTER-15 OBJECT AB,2025-276AB,66691,PAY,+,TBD,2025-11-28,AFWTR,,94.60,97.41,503,495,,,EA,ORB
NUSAT-52,2025-276AC,66692,PAY,+,ARGN,2025-11-28,AFWTR,,94.71,97.41,508,501,,,EA,ORB
AE5RB,2025-276AD,66693,PAY,+,JPN,2025-11-28,AFWTR,,94.44,97.41,495,488,,,EA,ORB
YAM-9,2025-276AE,66694,PAY,+,US,2025-11-28,AFWTR,,95.01,97.41,525,513,,,EA,ORB
IRIDE-MS1-EAGLET 2-1,2025-276AF,66695,PAY,+,IT,2025-11-28,AFWTR,,94.63,97.41,502,499,,,EA,ORB
IRIDE-MS1-EAGLET 2-2,2025-276AG,66696,PAY,+,IT,2025-11-28,AFWTR,,94.65,97.41,505,498,,,EA,ORB
IRIDE-MS1-EAGLET 2-3,2025-276AH,66697,PAY,+,IT,2025-11-28,AFWTR,,94.62,97.41,502,498,,,EA,ORB
