#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S66666    	2025-276A	Formosat-8A	2025 Nov 28 	2025 Nov 28	*	*	-	ROCSAT	-	-	-	C	IMG/SCI	S	-	-	[TW]	-	-	-	-	-	2025 Dec 18 	     563	     568	 97.66 	-
S66667    	2025-276B	Pelican 5	2025 Nov 28 	2025 Nov 28	*	*	-	Pelican	-	P	M	B	IMG	S	-	-	[US]	-	-	-	-	-	2026 Aug  8 	     460	     464	 97.41 	-
S66668    	2025-276C	Sari 1	2025 Nov 28 	2025 Nov 28	*	*	-	Saudi Small	-	-	-	C	TECH	S	-	-	[SA]	-	-	-	-	-	2025 Dec 17 	     509	     520	 97.43 	-
S66669    	2025-276D	Sari 2	2025 Nov 28 	2025 Nov 28	*	*	-	Saudi Small	-	-	-	C	TECH	S	-	-	[SA]	-	-	-	-	-	2025 Dec 17 	     509	     519	 97.43 	-
S66670    	2025-276E	Hunity	2025 Nov 28 	2025 Nov 28	*	*	-	BUTE	-	-	-	A	TECH	S	-	-	[HU]	-	-	-	-	-	2025 Dec 18 	     509	     519	 97.43 	-
S66671    	2025-276F	ANISCSAT	2025 Nov 28 	2025 Nov 28	*	*	-	Azerspace	-	-	-	A	TECH	S	-	-	[AZ]	-	-	-	-	-	2025 Dec 18 	     511	     518	 97.44 	-
S66672    	2025-276G	BRO-17	2025 Nov 28 	2025 Nov 28	*	*	-	Unseen	-	-	-	B	SIG	S	-	-	[F]	-	-	-	-	-	2025 Dec 18 	     512	     519	 97.44 	-
S66673    	2025-276H	TORO2	2025 Nov 28 	2025 Nov 28	*	*	-	TASA Cube	-	-	-	B	IMG	S	-	-	[TW]	-	-	-	-	-	2025 Dec 18 	     510	     519	 97.44 	-
S66674    	2025-276J	BRO-20	2025 Nov 28 	2025 Nov 28	*	*	-	Unseen	-	-	-	B	SIG	S	-	-	[F]	-	-	-	-	-	2025 Dec 18 	     512	     519	 97.44 	-
S66675    	2025-276K	Veery-0G	2025 Nov 28 	2025 Nov 28	*	*	-	CWX	-	-	-	B	MET	S	-	-	[US]	-	-	-	-	-	2025 Dec 18 	     511	     518	 97.44 	-
S66676    	2025-276L	HCT-SAT2	2025 Nov 28 	2025 Nov 28	*	*	-	HCT	-	-	-	A	TECH	S	-	-	[UAE]	-	-	-	-	-	2025 Dec 18 	     512	     519	 97.44 	-
