#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S66666    	66666	2025-276	2025-276A	P           	Formosat-8A	Formosat-8A	2025 Nov 28	A11695	2025 Nov 28 2104:26	Earth	-	O	-	TASA	TW	TASA	FS8	AOCS	     380 	 	    380 	 	     380 	 	   1.6 	 	  1.2 	 	    4.4 	 	Box + 2 pan	2025 Dec 19	     563	 	     568	 	 97.66 	 	LLEO/S	-	-
S66667    	66667	2025-276	2025-276B	P           	Pelican 5	Pelican 300c	2025 Nov 28	A11695	2025 Nov 28 2005:00	Earth	-	O	-	PLAN	US	PLAN	Pelican	Xe AOCS	     160 	 	    146 	 	     160 	 	   2.3 	 	  0.6 	 	    3.0 	?	Box+2 pan	2025 Nov 30	     512	 	     515	 	 97.44 	 	LLEO/S	-	-
S66668    	66668	2025-276	2025-276C	P           	Sari 1	Sari 1	2025 Nov 28	A11695	2025 Nov 28 1939:48	Earth	-	O	-	SAUDSA	SA	SAUDSA	PocketQube 1P	-	       0.250	 	      0.250	 	       0.250	 	   0.050	 	  0.050	 	    0.1 	 	Box+2 ant	2025 Dec 19	     511	 	     518	 	 97.44 	 	LLEO/S	-	-
S66669    	66669	2025-276	2025-276D	P           	Sari 2	Sari 2	2025 Nov 28	A11695	2025 Nov 28 1939:48	Earth	-	O	-	SAUDSA	SA	SAUDSA	PocketQube 1P	-	       0.250	 	      0.250	 	       0.250	 	   0.050	 	  0.050	 	    0.1 	 	Box+2 ant	2025 Dec 19	     512	 	     518	 	 97.44 	 	LLEO/S	-	-
S66670    	66670	2025-276	2025-276E	P           	Hunity	Hunity	2025 Nov 28	A11695	2025 Nov 28 1939:48	Earth	-	O	-	BME	HU	BME	PocketQube 3P	-	       0.750	 	      0.750	 	       0.750	 	   0.178	 	  0.050	 	    0.4 	 	Box+3 pan	2025 Dec 20	     512	 	     519	 	 97.44 	 	LLEO/S	-	-
S66671    	66671	2025-276	2025-276F	P           	ANISCSAT	ANISC	2025 Nov 28	A11695	2025 Nov 28 1939:48	Earth	-	O	-	AZER	AZ	AZER	PocketQube 1P	-	       0.250	 	      0.250	 	       0.250	 	   0.050	 	  0.050	 	    0.1 	 	Box+2 ant	2025 Dec 19	     511	 	     516	 	 97.44 	 	LLEO/S	-	-
S66672    	66672	2025-276	2025-276G	P           	BRO-17	BRO-17	2025 Nov 28	A11695	2025 Nov 28 1939:12	Earth	-	O	-	UNSEEN	F	GOMSP	Cubesat 8U	-	      15 	?	     15 	?	      15 	 	   0.4 	 	  0.2 	 	    0.4 	 	Box	2025 Dec  6	     512	 	     514	 	 97.44 	 	LLEO/S	-	-
S66673    	NNA	2025-276	2025-276H	P       ?   	TORO2	TORO2	2025 Nov 28	A11695	2025 Nov 28 1939:09	Earth	-	O	-	TASA/PYRAS	TW	PYRAS	Cubesat 8U	-	      15 	?	     15 	?	      15 	 	   0.4 	 	  0.2 	 	    0.4 	 	Box	2026 Jan 17	     566	 	     578	 	 97.55 	 	LLEO/S	-	-
S66674    	66674	2025-276	2025-276J	P           	BRO-20	BRO-20	2025 Nov 28	A11695	2025 Nov 28 1939:23	Earth	-	O	-	UNSEEN	F	GOMSP	Cubesat 8U	-	      15 	?	     15 	?	      15 	 	   0.4 	 	  0.2 	 	    0.4 	 	Box	2025 Dec 18	     509	 	     519	 	 97.43 	 	LLEO/S	-	-
S66675    	66675	2025-276	2025-276K	P           	Veery-0G	Veery-0G	2025 Nov 28	A11695	2025 Nov 28 1941:08	Earth	-	O	-	CAREWX	US	CAREWX	Cubesat 1U	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Box	2025 Dec 19	     513	 	     515	 	 97.44 	 	LLEO/S	-	-
S66676    	NNA	2025-276	2025-276L	P       ?   	HCT-SAT2	HCT-SAT2	2025 Nov 28	A11695	2025 Nov 28 1940:51	Earth	-	O	-	HCT/MBRSC	UAE	MBRSC	Cubesat 1U	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Box	2025 Dec 19	     512	 	     517	 	 97.44 	 	LLEO/S	-	-
S66677    	66677	2025-276	2025-276M	P           	AE5RC	AE5RC	2025 Nov 28	A11695	2025 Nov 28 1942:46	Earth	-	O	-	ARKE	J	ARKE	Cubesat 6U	-	      10 	?	     10 	?	      10 	?	   0.3 	 	  0.2 	 	    0.3 	 	Box+ 2 pan	2025 Dec  6	     513	 	     515	 	 97.44 	 	LLEO/S	-	-
S66678    	66678	2025-276	2025-276N	P           	Otter SDM	Otter	2025 Nov 28	A11695	2025 Nov 28 1940:51	Earth	-	O	-	DLR	D	DLR	Cubesat 3U	-	       5 	 	      5 	 	       5 	 	   0.3 	 	  0.1 	 	    0.3 	 	Box+ 2 pan	2025 Dec 19	     510	 	     521	 	 97.44 	 	LLEO/S	-	-
S66679    	66679	2025-276	2025-276P	P           	Lilium 2	Lilium 2	2025 Nov 28	A11695	2025 Nov 28 1940:12	Earth	-	O	-	NCKU	TW	SATORO	Cubesat 6U	-	      12 	 	     12 	 	      12 	 	   0.3 	 	  0.2 	 	    0.3 	 	Box	2025 Dec 19	     510	 	     517	 	 97.43 	 	LLEO/S	-	-
S66680    	66680	2025-276	2025-276Q	P           	Lemur-2 DeanAndMeave	Lemur-2	2025 Nov 28	A11695	2025 Nov 28 1939:50	Earth	-	O	-	SPIRE	US	SPIREG	Cubesat 3U	-	       7.600	 	      7.600	 	       7.600	 	   0.3 	 	  0.1 	 	    1.0 	 	Box+ 2 pan	2025 Dec 19	     512	 	     518	 	 97.44 	 	LLEO/S	-	-
