norad,intdes,name,gcat_name,gcat_owner,mass_kg,length_m,diam_m,span_m,shape,sep_raw,epoch,alt_km,inc_deg,raan_deg,ecc,mm_rev_day,ndot,bstar,unknown
66667,25276B,PELICAN-5,Pelican 5,PLAN,160.0,2.3,0.6,3.0,Box+2 pan,2025 Nov 28 2005:00,2026-09-14T22:16:16,457.89100767219134,97.392,333.14,0.0001524,15.360205000000002,7.358e-05,0.00021211,False
66703,25276AP,PELICAN-6,Pelican 6,PLAN,160.0,2.3,0.6,3.0,Box+2 pan,2025 Nov 28 2004:56,2026-09-14T22:00:03,461.0825220186498,97.331,332.5893,0.0002103,15.34945452,-0.00033718,-0.00099814,False
66668,25276C,SARI-1,Sari 1,SAUDSA,0.25,0.05,0.05,0.1,Box+2 ant,2025 Nov 28 1939:48,2026-09-14T22:25:27,467.75219358729737,97.3974,331.8298,0.0006253,15.32702846,0.00036985,0.0011686,False
66669,25276D,SARI-2,Sari 2,SAUDSA,0.25,0.05,0.05,0.1,Box+2 ant,2025 Nov 28 1939:48,2026-09-14T22:01:39,470.35267226731685,97.3986,331.7655,0.000654,15.318299420000002,0.00033876,0.0011005,False
66670,25276E,HUNITY,Hunity,BME,0.75,0.178,0.05,0.4,Box+3 pan,2025 Nov 28 1939:48,2026-09-14T15:28:08,471.9196910443952,97.3986,331.3934,0.0006401,15.3130434,0.00024683,0.00081673,False
66748,25276CL,UMBRA-11,Umbra-11,UMBRA,84.0,0.8,0.6,4.0,Box + 2 Pan + Dish,2025 Nov 28 2004:53,2026-09-14T22:48:55,475.6542888295544,97.4123,332.2071,0.0002104,15.3005291,0.00024258,0.0008348,False
66681,25276R,TRANSPORTER-15 OBJECT R,CTC-1B,SPCOIN/ARROW,21.0,0.4,0.2,0.4,Box,2025 Nov 28 1943:35,2026-09-14T10:27:29,486.29391376128024,97.4039,330.468,0.0005903,15.264969970000001,0.00012795,0.00049244,True
66765,25276DD,TRANSPORTER-15 OBJECT DD,WISDOM B,C3S,5.0,0.3,0.1,0.3,Box,2025 Nov 28 1942:55,2026-09-14T10:42:55,488.8630514379802,97.4144,330.9576,0.000104,15.25640419,8.314e-05,0.00032963,True
66673,25276H,TRANSPORTER-15 OBJECT H,TORO2,TASA/PYRAS,15.0,0.4,0.2,0.4,Box,2025 Nov 28 1939:09,2026-09-14T22:08:56,490.43518758351274,97.4089,330.7307,0.0006906,15.25116647,0.00015605,0.0006249200000000001,True
66720,25276BG,FLOCK 4H-17,Flock 4h-17,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1954:26,2026-09-14T15:37:41,490.87412011056404,97.4132,330.7225,0.0003205,15.249704660000003,0.00011148,0.00044972,False
66693,25276AD,AE5RB,AE5RB,ARKE,10.0,0.3,0.2,0.3,Box+ 2 pan,2025 Nov 28 1946:43,2026-09-14T15:37:35,491.3661960863692,97.4095,330.5204,0.0004833,15.24806614,0.00011635,0.00047141,False
66677,25276M,AE5RC,AE5RC,ARKE,10.0,0.3,0.2,0.3,Box+ 2 pan,2025 Nov 28 1942:46,2026-09-14T10:54:42,491.40591089189,97.4104,330.3593,0.0006106,15.24793391,0.00011136,0.00045144,False
66685,25276V,AE5RA,AE5RA,ARKE,10.0,0.3,0.2,0.3,Box+ 2 pan,2025 Nov 28 1946:12,2026-09-14T15:37:09,491.49648249837264,97.41410000000002,330.6934,0.000552,15.247632359999999,9.13e-05,0.00037108999999999997,False
66714,25276BA,FLOCK 4H-11,Flock 4h-11,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 2003:11,2026-09-14T22:30:57,491.52576159883574,97.4118,330.8793,0.0003878,15.24753488,0.00014071,0.00057026,False
66777,25276DR,LUNA-1,Luna-1,ASELSN,12.0,0.3,0.2,0.3,Box,2025 Nov 28 1940:26,2026-09-14T15:29:56,493.3397096697745,97.4182,331.0155,3.47e-05,15.241497659999999,7.502e-05,0.00031123,False
66761,25276CZ,TRANSPORTER-15 OBJECT CZ,TRYAD 2,AUBU/UAH,12.0,0.3,0.2,0.3,Box,2025 Nov 28 1939:34,2026-09-14T22:11:45,494.9445342441877,97.4106,330.8303,0.0001112,15.23615977,8.238e-05,0.00034684,True
66671,25276F,ANISCSAT-1,ANISCSAT,AZER,0.25,0.05,0.05,0.1,Box+2 ant,2025 Nov 28 1939:48,2026-09-14T02:44:53,496.27240667240494,97.4133,329.7201,0.000658,15.231745419999998,8.592e-05,0.00036616,False
66788,25276EC,FOSSASA-2E23,WISESAT-6,WISEK/FOSSA,4.0,0.3,0.1,0.3,Box + 2 pan,2026 Jan?,2026-09-14T16:17:38,497.0279709794122,97.41670000000002,330.2511,0.0006079,15.229234590000003,7.566e-05,0.00032526,False
66687,25276X,LEO EXPRESS 3,LEO Express 3,IMPUL,250.0,0.9,0.5,0.9,Box,2025 Nov 28 2003:45,2026-09-14T22:14:45,497.86322930418646,97.4183,330.4155,0.0004119,15.22645973,0.00010651,0.00046032,False
66772,25276DL,IHI-SAT2,IHI-SAT-2,IHIC,12.0,0.3,0.2,0.3,Box,2025 Nov 28 1939:19,2026-09-13T17:03:39,498.65375648816644,97.4164,329.5734,3.38e-05,15.22383425,4.216e-05,0.00018563,False
66775,25276DP,PHI 1,PHI-1,MBRSC,20.0,0.3,0.2,0.3,Box,2025 Nov 28 1939:28,2026-09-14T10:57:52,499.0929340423427,97.4056,329.8781,0.0001841,15.22237599,4.79e-05,0.00021137,False
66691,25276AB,TRANSPORTER-15 OBJECT AB,TRYAD 1,AUBU/UAH,12.0,0.3,0.2,0.3,Box,2025 Nov 28 1941:10,2026-09-14T15:34:18,499.1983855226008,97.4125,330.0544,0.0005593,15.22202588,6.698e-05,0.00029448999999999995,True
66675,25276K,VEERY-0G,Veery-0G,CAREWX,1.0,0.1,0.1,0.1,Box,2025 Nov 28 1941:08,2026-09-14T03:38:52,499.32567302128336,97.4098,329.386,0.000684,15.22160329,6.758e-05,0.0002974,False
66723,25276BK,FLOCK 4H-20,Flock 4h-20,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1953:57,2026-09-14T14:59:15,499.43595004016606,97.41410000000002,330.2798,0.0002676,15.221237190000002,5.925e-05,0.00026155,False
66700,25276AL,IRIDE-MS1-EAGLET 2-6,IRIDE-MS1-Eaglet-2-6,ASI/OHBI,25.0,0.6,0.3,2.0,Box+2 pan,2025 Nov 28 1945:37,2026-09-14T15:06:07,499.47432964847576,97.4146,330.2779,0.0002801,15.221109779999999,4.39e-05,0.00019467,False
66776,25276DQ,LEMUR-2-LAILA,Lemur-2 Laila,SPIRE,7.6,0.3,0.1,1.0,Box+ 2 pan,2025 Nov 28 1939:41,2026-09-14T15:37:45,499.47788116743413,97.4101,330.234,0.0001188,15.22109799,4.302e-05,0.00019086,False
66717,25276BD,FLOCK 4H-14,Flock 4h-14,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1942:28,2026-09-14T15:18:07,499.56051928939087,97.4132,330.2265,0.0001549,15.22082366,6.014e-05,0.00026575,False
66774,25276DN,GENA-OT,Gena-OT-1,ORORA/UBWM,15.0,0.3,0.2,0.4,Box+2 pan,2025 Nov 28 1939:57,2026-09-14T22:38:58,499.7984585261511,97.41280000000002,330.5771,4.58e-05,15.220033829999998,5.579e-05,0.00024733,False
66697,25276AH,IRIDE-MS1-EAGLET 2-3,IRIDE-MS1-Eaglet-2-3,ASI/OHBI,25.0,0.6,0.3,2.0,Box+2 pan,2025 Nov 28 1945:27,2026-09-14T03:23:53,500.138260214223,97.41090000000001,329.5772,0.000243,15.21890599,5.94e-05,0.000264,False
66768,25276DG,LEMUR-2-TEODOR,Lemur-2 Teodor,SPIRE,7.6,0.3,0.1,1.0,Box+ 2 pan,2025 Nov 28 1940:07,2026-09-14T22:53:23,500.1743566669802,97.4077,330.3529,0.0001653,15.218786189999998,5.193e-05,0.00023128000000000002,False
66759,25276CX,TRANSPORTER-15 OBJECT CX,Phasma-Lamarr,LIBRE/ELKED,5.0,0.3,0.1,0.3,Box,2025 Nov 28 1942:14,2026-09-14T11:04:10,500.20760318441535,97.4093,329.86710000000005,0.0001616,15.218675850000002,4.64e-05,0.00020705000000000002,True
66722,25276BJ,FLOCK 4H-19,Flock 4h-19,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1953:26,2026-09-14T15:08:17,500.2120143892944,97.4106,330.1295,0.0001632,15.21866121,4.896e-05,0.00021833,False
66736,25276BY,FLOCK 4H-33,Flock 4h-33,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1949:38,2026-09-14T11:01:01,500.3717023574118,97.4147,330.0634,0.0002171,15.21813125,5.131e-05,0.00022899000000000001,False
66705,25276AR,FLOCK 4H-2,Flock 4h-2,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1949:59,2026-09-14T03:39:34,500.3725792265086,97.4103,329.5263,0.0002184,15.218128340000002,5.498e-05,0.00024517,False
66741,25276CD,BLACK KITE-1,Black Kite 1,TASA/RAPTEK,15.0,0.4,0.2,0.4,Box,2025 Nov 28 1939:30,2026-09-14T10:35:56,500.5341026783317,97.4169,329.87610000000006,0.0006452,15.21759232,5.868e-05,0.00026172,False
66724,25276BL,FLOCK 4H-21,Flock 4h-21,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1957:11,2026-09-14T22:26:37,500.6191954382102,97.4107,330.3443,0.000242,15.217309950000002,6.024e-05,0.00026895,False
66695,25276AF,IRIDE-MS1-EAGLET 2-1,IRIDE-MS1-Eaglet-2-1,ASI/OHBI,25.0,0.6,0.3,2.0,Box+2 pan,2025 Nov 28 1944:42,2026-09-14T11:10:51,500.6321658587585,97.4121,329.9579,0.0002406,15.217266910000001,3.766e-05,0.00016932,False
66756,25276CU,MAUVE,MAUVE,BLSKSP,24.0,0.4,0.2,0.6,Box+2 pan,2025 Nov 28 1944:57,2026-09-14T15:42:12,500.89724112626936,97.4133,330.0512,0.0002233,15.216387350000002,5.125e-05,0.00022992000000000002,False
66766,25276DE,T.MICROSAT-1,Bellbird-1,TASA/TRON,15.0,0.4,0.2,0.4,Box,2025 Nov 28 1941:22,2026-09-14T22:17:17,500.91203625869275,97.4084,330.2678,0.0001285,15.21633826,5.174e-05,0.0002321,False
66728,25276BQ,FLOCK 4H-25,Flock 4h-25,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1941:37,2026-09-14T15:05:44,501.06010347822485,97.4121,330.0339,0.0001372,15.21584699,5.006e-05,0.00022501,False
66738,25276CA,FLOCK 4H-35,Flock 4h-35,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1949:22,2026-09-14T10:20:34,501.08483386443095,97.4123,329.8554,0.0001761,15.215764939999998,4.646e-05,0.00020909,False
66771,25276DK,GYEONGGISAT-1,Gyeonggisat-1,NARAST,25.0,0.4,0.4,0.4,Box,2025 Nov 28 1940:46,2026-09-14T16:09:38,501.10828950739324,97.4157,330.2857,3.14e-05,15.215687120000002,4.698e-05,0.00021147,False
66716,25276BC,FLOCK 4H-13,Flock 4h-13,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1942:38,2026-09-14T10:24:19,501.18106295200323,97.4151,329.9485,0.0001629,15.215445680000002,5.187e-05,0.00023329,False
66704,25276AQ,FLOCK 4H-1,Flock 4h-1,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1957:27,2026-09-14T10:54:11,501.2610846156467,97.4094,329.7484,0.000234,15.2151802,5.01e-05,0.00022561,False
66715,25276BB,FLOCK 4H-12,Flock 4h-12,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 2001:12,2026-09-14T22:13:45,501.31124854620975,97.4115,330.2268,0.0002739,15.215013779999998,5.702e-05,0.00025646,False
66708,25276AU,FLOCK 4H-5,Flock 4h-5,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1942:47,2026-09-14T12:15:09,501.3233540999008,97.4103,329.8289,0.0001893,15.214973620000002,4.813e-05,0.00021700000000000002,False
66712,25276AY,FLOCK 4H-9,Flock 4h-9,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 2002:33,2026-09-14T22:33:35,501.3275862333285,97.41410000000002,330.3239,0.0004028,15.214959579999999,6.862e-05,0.00030799,False
66737,25276BZ,FLOCK 4H-34,Flock 4h-34,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1949:49,2026-09-14T15:45:43,501.375584025398,97.4165,330.1641,0.0002552,15.214800350000003,4.844e-05,0.00021848,False
66696,25276AG,IRIDE-MS1-EAGLET 2-2,IRIDE-MS1-Eaglet-2-2,ASI/OHBI,25.0,0.6,0.3,2.0,Box+2 pan,2025 Nov 28 1947:39,2026-09-14T12:15:18,501.53107995289884,97.4112,329.7003,0.0005154,15.21428452,4.003e-05,0.00018133,False
66730,25276BS,FLOCK 4H-27,Flock 4h-27,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1945:06,2026-09-13T22:38:20,501.5632907714253,97.4098,329.1763,0.00018,15.214177669999998,5.904e-05,0.00026609,False
66739,25276CB,FLOCK 4H-36,Flock 4h-36,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1950:00,2026-09-14T03:34:20,501.58845375738747,97.4176,329.6538,0.0003008,15.2140942,6.455e-05,0.00029065000000000004,False
66757,25276CV,PIAST-S2,PIAST-S2,WAT,12.0,0.3,0.2,0.3,Box,2025 Nov 28 1944:44,2026-09-14T22:08:34,501.8726966204549,97.4137,330.3381,0.0002118,15.21315137,4.82e-05,0.00021844,False
66718,25276BE,FLOCK 4H-15,Flock 4h-15,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1951:34,2026-09-14T10:27:53,501.90688323202903,97.4144,329.4785,0.0004674,15.21303798,0.0001506,0.0006752399999999999,False
66725,25276BM,FLOCK 4H-22,Flock 4h-22,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1956:15,2026-09-14T16:06:38,502.15234646895624,97.4098,329.7409,0.0004205,15.21222387,5.995e-05,0.00027161000000000004,False
66709,25276AV,FLOCK 4H-6,Flock 4h-6,PLAN,5.7,0.3,0.1,0.3,Box+2 pan,2025 Nov 28 1958:41,2026-09-14T02:34:13,502.18670239517087,97.4157,329.4913,0.0003882,15.212109930000002,3.603e-05,0.00016456,False
