norad,name,gcat_name,gcat_mass,massflag,bus,shape,n_tle,n_rejected,da_dt_km_day,fit_resid_km,alt_km,rho_kg_m3,cd_am,am,ratio_to_toro2_tumbling,closest_hyp,unknown
68484,VINDLER 2.2,Vindler 2.0.2,130.0,?,Muon Halo,Box+ 2 pan,51,0,-0.133762714059534,0.35923138907219254,592.7791793929258,1.6595033488099887e-13,0.17700256446514845,0.08045571112052202,10.23981777897553,最大面迎風（帆板+本體）,False
68488,VINDLER 2.1,Vindler 2.0.1,130.0,?,Muon Halo,Box+ 2 pan,66,0,-0.08256843548553044,0.12200013572874013,594.2092119959879,1.6204037033394888e-13,0.11188475175317249,0.05085670534235113,6.472671589026507,最大面迎風（帆板+本體）,False
68475,UNICORN-2S,Unicorn-2S,0.75,?,PocketQube 3P,Box+2 pan,67,0,-0.05557801315151968,0.013412478656391613,595.6365503232862,1.5779444867190702e-13,0.0773295761838094,0.03514980735627699,4.473611845344344,最大面迎風（帆板+本體）,False
68477,UNICORN-2R,Unicorn-2R,0.75,?,PocketQube 3P,Box+2 pan,64,0,-0.05504565429985265,0.018276149315170187,595.7148785004551,1.57244321947764e-13,0.0768562215019147,0.03493464613723395,4.446227690193412,最大面迎風（帆板+本體）,False
68440,TRANSPORTER-16 OBJECT AA,Harbinger,5.0,?,Cubesat 3U,Box,63,0,-0.13472757405237037,0.023320334473282855,512.373598041046,5.342456445591527e-13,0.055701617510106514,0.025318917050048413,3.222407624551616,最大面迎風（帆板+本體）,True
68446,HADES-SA (SPINNYONE),HADES-SA,0.25,,PocketQube 1P,Box+2 ant,60,0,-0.11640547348822042,0.020851952678185626,515.327762079503,5.07014681213578e-13,0.050700179511650616,0.02304553614165937,2.9330682362111924,最大面迎風（帆板+本體）,False
68492,LEMUR-2-EMARCHIA,Lemur-2-Emarchia,7.6,,Cubesat 3U,Box+ 2 pan,76,0,-0.0360597325705628,0.011714458682490658,595.7751679005775,1.5740248148943484e-13,0.05029670248279516,0.022862137492179614,2.909726589913769,最大面迎風（帆板+本體）,False
68467,TRANSPORTER-16 OBJECT BD,ERMIS 1,10.0,?,Cubesat 6U,Box,63,0,-0.10807754658522566,0.020927503202983644,515.0903093907147,5.09606133706554e-13,0.046834083633851394,0.021288219833568815,2.709409796999667,最大面迎風（帆板+本體）,True
68438,TRANSPORTER-16 OBJECT Y,Phobos,5.0,?,Cubesat 4U,Box,62,0,-0.10727579245637847,0.018041316610833746,512.2721427838109,5.341194849187967e-13,0.044362389987799136,0.02016472272172688,2.566419255492512,最大面迎風（帆板+本體）,True
68471,LEMUR-2-DELOITTE-3,Lemur-2-Deloitte-3,10.0,,Cubesat 6U,Box,72,0,-0.031117656912257742,0.008286236402909708,596.0836045945754,1.5653564553760856e-13,0.0436428224253516,0.019837646556978,2.524791379979018,最大面迎風（帆板+本體）,False
