norad,name,gcat_name,gcat_mass,massflag,bus,shape,n_tle,n_rejected,da_dt_km_day,fit_resid_km,alt_km,rho_kg_m3,cd_am,am,ratio_to_toro2_tumbling,closest_hyp,unknown
66667,PELICAN-5,Pelican 5,160.0,,Pelican,Box+2 pan,193,23,-0.5213683314628805,0.5414659726629907,500.91296876638717,6.049576583407452e-13,0.19050980380685453,0.08659536536675205,6.7812212648886545,最大面迎風（帆板+本體，手算）,False
66703,PELICAN-6,Pelican 6,160.0,,Pelican,Box+2 pan,239,15,-0.4886715569500423,1.144312625103339,498.00899322577027,6.369357861541303e-13,0.16965162754161392,0.07711437615527905,6.038771765648993,最大面迎風（帆板+本體，手算）,False
66747,(no current TLE),W-5,250.0,?,VW,Trunc cone,24,38,-0.44328374397618875,0.4004111045569516,492.1112635643773,7.081623629561419e-13,0.13825605083175013,0.06284365946897733,4.9212421259449,最大面迎風（帆板+本體，手算）,False
66787,LEMUR-2-MYRA,Lemur-2 Myra,5.0,,Cubesat 4U,Box,45,0,-0.07468933918478542,0.013711290205719706,572.4505082812606,1.9514917664450959e-13,0.0841788042789061,0.038263092854048227,2.996355495740002,最大面迎風（帆板+本體，手算）,False
66668,SARI-1,Sari 1,0.25,,PocketQube 1P,Box+2 ant,205,0,-0.1940003946056964,0.13356809148081084,503.94115969382904,5.612007605005148e-13,0.07640237895751395,0.034728354071597245,2.719552624179091,最大面迎風（帆板+本體，手算）,False
66781,LEMUR-2-CELIJO-SB-PK,Lemur-2-Celijo-SB-PK,5.0,,Cubesat 4U,Box,139,0,-0.06492824576035172,0.03404481343295629,573.5731141591448,1.9122827215616855e-13,0.07466693126338035,0.03393951421062743,2.6577791376057074,最大面迎風（帆板+本體，手算）,False
66783,LEMUR-2-STARLIGHT,Lemur-2 Starlight,7.6,,Cubesat 3U,Box+ 2 pan,55,0,-0.06315578692019533,0.01608493109142728,575.7742348333543,1.8605714624917275e-13,0.07463875814455612,0.03392670824752551,2.6567763117739047,最大面迎風（帆板+本體，手算）,False
66669,SARI-2,Sari 2,0.25,,PocketQube 1P,Box+2 ant,353,0,-0.18145436703662943,0.12161549895245116,503.9698339741047,5.609974719429905e-13,0.07148630804445977,0.032493776383845346,2.5445644401111376,最大面迎風（帆板+本體，手算）,False
66670,HUNITY,Hunity,0.75,,PocketQube 3P,Box+3 pan,236,2,-0.17802732048347414,0.1413338487436704,504.5749365319787,5.551481526462595e-13,0.07087071924642763,0.032213963293830736,2.522652476714886,最大面迎風（帆板+本體，手算）,False
66782,LEMUR-2-FINNIAN,Lemur-2-Finnian,5.0,,Cubesat 4U,Box,52,0,-0.06150445388616406,0.013040880933658627,571.6779729442603,1.9560095228065694e-13,0.06916042073173342,0.031436554878060644,2.4617741784572797,最大面迎風（帆板+本體，手算）,False
