u0,rel1,rate,a1,norad,piece,name,gcat_name,sep,pred_sep,gcat_sep_resid_deg,mass,length,unknown,outlier
-57.016686634616086,-42.768747300150615,-0.8286644150789297,6892.786643989484,66670,E,HUNITY,Hunity,2025-11-28T19:39:48,2025-11-28T16:25:01,-52.90079777269535,0.75,0.178,False,False
-47.63377545092753,53.036355796981354,3.500698420136839,6888.900255949232,66748,CL,UMBRA-11,Umbra-11,2025-11-28T20:04:53,2025-11-28T16:59:34,-50.33065495486679,84.0,0.8,False,False
-37.58400283653828,-17.25555401557307,-0.44714022434462003,6892.053110088242,66681,R,TRANSPORTER-15 OBJECT R,CTC-1B,2025-11-28T19:43:35,2025-11-28T17:36:34,-34.49568767498314,21.0,0.4,True,False
-28.64335228692701,-10.405119445341711,-0.5239461484220401,6891.933864083657,66685,V,AE5RA,AE5RA,2025-11-28T19:46:12,2025-11-28T18:09:29,-26.265737878488157,10.0,0.3,False,False
-28.601866006115454,0.0,0.0,6891.467945693017,66693,AD,AE5RB,AE5RB,2025-11-28T19:46:43,2025-11-28T18:09:38,-26.364581045744153,10.0,0.3,False,False
-27.296206804062113,-35.777190711426044,-1.6102054603887823,6892.9201818094025,66673,H,TRANSPORTER-15 OBJECT H,TORO2,2025-11-28T19:39:09,2025-11-28T18:14:27,-23.00377444295962,15.0,0.4,True,False
-25.80362652935904,-7.494913661189458,-0.4989801160561311,6891.842053019625,66677,M,AE5RC,AE5RC,2025-11-28T19:42:46,2025-11-28T18:19:56,-22.493500304729384,10.0,0.3,False,False
-22.571040010421324,12.602265572458464,0.3876074713774263,6890.875556269131,66714,BA,FLOCK 4H-11,Flock 4h-11,2025-11-28T20:03:11,2025-11-28T18:31:51,-24.80619036265446,5.7,0.3,False,False
-22.369297110180078,85.81821170965054,3.9584203057558596,6888.0683531291415,66765,DD,TRANSPORTER-15 OBJECT DD,WISDOM B,2025-11-28T19:42:55,2025-11-28T18:32:35,-19.099911693053905,5.0,0.3,True,False
-19.328260097004403,-30.26620026458619,-1.9270694403137383,6892.94946127862,66671,F,ANISCSAT-1,ANISCSAT,2025-11-28T19:39:48,2025-11-28T18:43:47,-15.212371235083666,0.25,0.05,False,False
