satellite,ground_station,passes,total_seconds,window_start_utc,window_end_utc
R01_T15_OBJECT_H_66673,NTUT,19,6385,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R01_T15_OBJECT_H_66673,TASA,19,6289,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R02_T15_OBJECT_R_66681,NTUT,20,6410,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R02_T15_OBJECT_R_66681,TASA,20,6366,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R03_T15_OBJECT_AB_66691,NTUT,19,6575,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R03_T15_OBJECT_AB_66691,TASA,19,6528,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R04_T15_OBJECT_CZ_66761,NTUT,18,6430,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R04_T15_OBJECT_CZ_66761,TASA,18,6420,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R05_T15_OBJECT_DM_66773,NTUT,18,6497,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R05_T15_OBJECT_DM_66773,TASA,18,6464,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R06_T15_OBJECT_L_66676,NTUT,20,6840,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R06_T15_OBJECT_L_66676,TASA,20,6814,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R07_T15_OBJECT_CN_66750,NTUT,19,6604,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R07_T15_OBJECT_CN_66750,TASA,18,6497,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R08_T15_OBJECT_CX_66759,NTUT,18,6414,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R08_T15_OBJECT_CX_66759,TASA,18,6319,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R09_T15_OBJECT_DD_66765,NTUT,20,6452,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R09_T15_OBJECT_DD_66765,TASA,20,6482,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R10_T15_OBJECT_CY_66760,NTUT,20,6658,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R10_T15_OBJECT_CY_66760,TASA,18,6482,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R11_T15_OBJECT_AA_66690,NTUT,18,6443,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
R11_T15_OBJECT_AA_66690,TASA,18,6433,2026-09-15T06:39:54Z,2026-09-22T06:39:54Z
