                                                                         17 Sep 2026 10:14:40
Civil Air Patrol Use Only
Facility-NTUT-To-Satellite-tle-66765:  Inview Azimuth, Elevation, & Range


NTUT-To-tle-66765 - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  17 Sep 2026 02:18:00.658           24.501             10.000    1678.387589
                  17 Sep 2026 02:18:10.000           25.216             10.979    1615.386369
                  17 Sep 2026 02:18:20.000           26.049             12.086    1548.433557
                  17 Sep 2026 02:18:30.000           26.963             13.258    1482.055027
                  17 Sep 2026 02:18:40.000           27.970             14.506    1416.341045
                  17 Sep 2026 02:18:50.000           29.084             15.837    1351.398034
                  17 Sep 2026 02:19:00.000           30.324             17.260    1287.352095
                  17 Sep 2026 02:19:10.000           31.712             18.787    1224.353361
                  17 Sep 2026 02:19:20.000           33.275             20.429    1162.581338
                  17 Sep 2026 02:19:30.000           35.047             22.198    1102.251427
                  17 Sep 2026 02:19:40.000           37.071             24.105    1043.622744
                  17 Sep 2026 02:19:50.000           39.400             26.161     987.007319
                  17 Sep 2026 02:20:00.000           42.099             28.373     932.780391
                  17 Sep 2026 02:20:10.000           45.253             30.738     881.391234
                  17 Sep 2026 02:20:20.000           48.964             33.245     833.372928
                  17 Sep 2026 02:20:30.000           53.356             35.860     789.348422
                  17 Sep 2026 02:20:40.000           58.571             38.517     750.028311
                  17 Sep 2026 02:20:50.000           64.752             41.109     716.194046
                  17 Sep 2026 02:21:00.000           72.014             43.478     688.660677
                  17 Sep 2026 02:21:10.000           80.373             45.420     668.212056
                  17 Sep 2026 02:21:20.000           89.674             46.716     655.515322
                  17 Sep 2026 02:21:30.000           99.537             47.186     651.026930
                  17 Sep 2026 02:21:40.000          109.418             46.759     654.917344
                  17 Sep 2026 02:21:50.000          118.764             45.499     667.040531
                  17 Sep 2026 02:22:00.000          127.185             43.580     686.960311
                  17 Sep 2026 02:22:10.000          134.512             41.221     714.023199
                  17 Sep 2026 02:22:20.000          140.753             38.628     747.451122
                  17 Sep 2026 02:22:30.000          146.019             35.963     786.429876
                  17 Sep 2026 02:22:40.000          150.453             33.335     830.174180
                  17 Sep 2026 02:22:50.000          154.197             30.813     877.967629
                  17 Sep 2026 02:23:00.000          157.376             28.432     929.180735
