                                                                         17 Sep 2026 10:14:41
Civil Air Patrol Use Only
Facility-TASA-To-Satellite-tle-66765:  Inview Azimuth, Elevation, & Range


TASA-To-tle-66765 - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  17 Sep 2026 02:18:07.598           26.171             10.000    1678.226653
                  17 Sep 2026 02:18:17.000           26.973             10.975    1615.485521
                  17 Sep 2026 02:18:27.000           27.902             12.068    1549.291795
                  17 Sep 2026 02:18:37.000           28.919             13.225    1483.737951
                  17 Sep 2026 02:18:47.000           30.037             14.452    1418.922111
                  17 Sep 2026 02:18:57.000           31.274             15.758    1354.959564
                  17 Sep 2026 02:19:07.000           32.648             17.150    1291.986354
                  17 Sep 2026 02:19:17.000           34.182             18.637    1230.163650
                  17 Sep 2026 02:19:27.000           35.905             20.228    1169.683003
                  17 Sep 2026 02:19:37.000           37.851             21.933    1110.772642
                  17 Sep 2026 02:19:47.000           40.064             23.758    1053.704788
                  17 Sep 2026 02:19:57.000           42.593             25.708     998.803928
                  17 Sep 2026 02:20:07.000           45.504             27.784     946.455600
                  17 Sep 2026 02:20:17.000           48.872             29.977     897.114806
                  17 Sep 2026 02:20:27.000           52.788             32.264     851.312321
                  17 Sep 2026 02:20:37.000           57.351             34.604     809.656076
                  17 Sep 2026 02:20:47.000           62.668             36.926     772.823337
                  17 Sep 2026 02:20:57.000           68.827             39.127     741.539617
                  17 Sep 2026 02:21:07.000           75.872             41.067     716.537129
                  17 Sep 2026 02:21:17.000           83.755             42.584     698.495122
                  17 Sep 2026 02:21:27.000           92.294             43.518     687.964902
                  17 Sep 2026 02:21:37.000          101.169             43.755     685.295328
                  17 Sep 2026 02:21:47.000          109.972             43.263     690.579009
                  17 Sep 2026 02:21:57.000          118.316             42.105     703.637202
                  17 Sep 2026 02:22:07.000          125.926             40.415     724.048833
                  17 Sep 2026 02:22:17.000          132.667             38.360     751.213257
                  17 Sep 2026 02:22:27.000          138.529             36.095     784.427165
                  17 Sep 2026 02:22:37.000          143.575             33.748     822.954980
                  17 Sep 2026 02:22:47.000          147.902             31.412     866.084275
                  17 Sep 2026 02:22:57.000          151.616             29.146     913.158991
                  17 Sep 2026 02:23:07.000          154.814             26.986     963.596265
                  17 Sep 2026 02:23:17.000          157.582             24.946    1016.890641
                  17 Sep 2026 02:23:27.000          159.992             23.034    1072.610708
                  17 Sep 2026 02:23:37.000          162.102             21.246    1130.391865
                  17 Sep 2026 02:23:47.000          163.960             19.577    1189.927664
                  17 Sep 2026 02:23:57.000          165.608             18.018    1250.961119
                  17 Sep 2026 02:24:07.000          167.077             16.561    1313.276728
                  17 Sep 2026 02:24:17.000          168.393             15.196    1376.693486
                  17 Sep 2026 02:24:27.000          169.578             13.916    1441.058946
                  17 Sep 2026 02:24:37.000          170.651             12.711    1506.244596
                  17 Sep 2026 02:24:47.000          171.626             11.574    1572.140423
                  17 Sep 2026 02:24:57.000          172.516             10.499    1638.653556
                  17 Sep 2026 02:25:01.832          172.918             10.000    1670.987558

Min Elevation     17 Sep 2026 02:18:07.598           26.171             10.000    1678.226653
Max Elevation     17 Sep 2026 02:21:35.228           99.589             43.766     685.187663
Mean Elevation                                                          25.449               
Min Range         17 Sep 2026 02:21:35.357           99.704             43.766     685.187040
Max Range         17 Sep 2026 02:18:07.598           26.171             10.000    1678.226653
Mean Range                                                                        1096.801616

                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  17 Sep 2026 14:19:10.494          178.653             10.000    1669.442883
                  17 Sep 2026 14:19:20.000          179.112             11.031    1603.675302
                  17 Sep 2026 14:19:30.000          179.640             12.182    1534.852875
                  17 Sep 2026 14:19:40.000          180.222             13.408    1466.460024
                  17 Sep 2026 14:19:50.000          180.867             14.721    1398.568829
                  17 Sep 2026 14:20:00.000          181.585             16.132    1331.265033
                  17 Sep 2026 14:20:10.000          182.390             17.654    1264.651343
                  17 Sep 2026 14:20:20.000          183.298             19.304    1198.851633
                  17 Sep 2026 14:20:30.000          184.331             21.101    1134.016324
                  17 Sep 2026 14:20:40.000          185.516             23.067    1070.329280
                  17 Sep 2026 14:20:50.000          186.889             25.225    1008.016600
                  17 Sep 2026 14:21:00.000          188.497             27.605     947.357756
                  17 Sep 2026 14:21:10.000          190.405             30.235     888.699460
                  17 Sep 2026 14:21:20.000          192.700             33.146     832.472404
                  17 Sep 2026 14:21:30.000          195.506             36.362     779.210401
                  17 Sep 2026 14:21:40.000          198.998             39.896     729.569990
                  17 Sep 2026 14:21:50.000          203.425             43.727     684.346023
                  17 Sep 2026 14:22:00.000          209.148             47.779     644.474306
                  17 Sep 2026 14:22:10.000          216.653             51.872     611.008771
                  17 Sep 2026 14:22:20.000          226.521             55.673     585.053289
                  17 Sep 2026 14:22:30.000          239.165             58.658     567.641671
                  17 Sep 2026 14:22:40.000          254.215             60.205     559.573483
                  17 Sep 2026 14:22:50.000          270.016             59.893     561.252149
                  17 Sep 2026 14:23:00.000          284.392             57.815     572.590871
                  17 Sep 2026 14:23:10.000          296.107             54.502     593.033662
                  17 Sep 2026 14:23:20.000          305.134             50.566     621.680055
                  17 Sep 2026 14:23:30.000          311.991             46.468     657.454207
                  17 Sep 2026 14:23:40.000          317.241             42.485     699.258257
                  17 Sep 2026 14:23:50.000          321.329             38.756     746.073790
                  17 Sep 2026 14:24:00.000          324.575             35.336     797.012152
                  17 Sep 2026 14:24:10.000          327.201             32.229     851.327132
                  17 Sep 2026 14:24:20.000          329.361             29.420     908.406408
