                                                                         17 Sep 2026 10:14:44
Civil Air Patrol Use Only
Facility-NTUT-To-Satellite-tle-66676:  Inview Azimuth, Elevation, & Range


NTUT-To-tle-66676 - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  17 Sep 2026 03:05:33.031          339.158             10.000    1722.302300
                  17 Sep 2026 03:05:43.000          337.559             10.851    1666.836823
                  17 Sep 2026 03:05:53.000          335.834             11.726    1612.611886
                  17 Sep 2026 03:06:03.000          333.978             12.619    1559.955231
                  17 Sep 2026 03:06:13.000          331.978             13.530    1509.037541
                  17 Sep 2026 03:06:23.000          329.823             14.454    1460.047019
                  17 Sep 2026 03:06:33.000          327.500             15.387    1413.190070
                  17 Sep 2026 03:06:43.000          324.997             16.322    1368.691500
                  17 Sep 2026 03:06:53.000          322.305             17.252    1326.793938
                  17 Sep 2026 03:07:03.000          319.412             18.166    1287.756217
                  17 Sep 2026 03:07:13.000          316.313             19.051    1251.850439
                  17 Sep 2026 03:07:23.000          313.004             19.892    1219.357385
                  17 Sep 2026 03:07:33.000          309.487             20.673    1190.560096
                  17 Sep 2026 03:07:43.000          305.770             21.375    1165.735431
                  17 Sep 2026 03:07:53.000          301.871             21.979    1145.144602
                  17 Sep 2026 03:08:03.000          297.813             22.466    1129.021050
                  17 Sep 2026 03:08:13.000          293.628             22.820    1117.559476
                  17 Sep 2026 03:08:23.000          289.357             23.029    1110.904892
                  17 Sep 2026 03:08:33.000          285.044             23.083    1109.143918
                  17 Sep 2026 03:08:43.000          280.739             22.982    1112.299244
                  17 Sep 2026 03:08:53.000          276.488             22.729    1120.328210
                  17 Sep 2026 03:09:03.000          272.336             22.333    1133.125398
                  17 Sep 2026 03:09:13.000          268.320             21.809    1150.529375
                  17 Sep 2026 03:09:23.000          264.470             21.173    1172.332086
                  17 Sep 2026 03:09:33.000          260.809             20.445    1198.290024
                  17 Sep 2026 03:09:43.000          257.349             19.644    1228.135830
                  17 Sep 2026 03:09:53.000          254.098             18.788    1261.589251
                  17 Sep 2026 03:10:03.000          251.056             17.893    1298.366674
                  17 Sep 2026 03:10:13.000          248.219             16.973    1338.189115
                  17 Sep 2026 03:10:23.000          245.578             16.041    1380.787283
                  17 Sep 2026 03:10:33.000          243.124             15.105    1425.906780
                  17 Sep 2026 03:10:43.000          240.845             14.174    1473.309881
                  17 Sep 2026 03:10:53.000          238.730             13.254    1522.776991
                  17 Sep 2026 03:11:03.000          236.766             12.348    1574.106949
                  17 Sep 2026 03:11:13.000          234.942             11.460    1627.116672
                  17 Sep 2026 03:11:23.000          233.245             10.592    1681.640330
                  17 Sep 2026 03:11:29.958          232.135             10.000    1720.392513

