                                                                         15 Sep 2026 14:40:07
Civil Air Patrol Use Only
Facility-NTUT-To-Satellite-tle-66750:  Inview Azimuth, Elevation, & Range


NTUT-To-tle-66750 - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  15 Sep 2026 14:31:18.095          198.683             10.000    1706.078581
                  15 Sep 2026 14:31:28.000          199.970             10.941    1645.401417
                  15 Sep 2026 14:31:38.000          201.376             11.929    1585.124465
                  15 Sep 2026 14:31:48.000          202.903             12.958    1525.955695
                  15 Sep 2026 14:31:58.000          204.565             14.029    1468.036372
                  15 Sep 2026 14:32:08.000          206.378             15.142    1411.527393
                  15 Sep 2026 14:32:18.000          208.360             16.298    1356.611871
                  15 Sep 2026 14:32:28.000          210.531             17.496    1303.497840
                  15 Sep 2026 14:32:38.000          212.914             18.732    1252.420866
                  15 Sep 2026 14:32:48.000          215.531             20.001    1203.646339
                  15 Sep 2026 14:32:58.000          218.410             21.293    1157.471054
                  15 Sep 2026 14:33:08.000          221.573             22.595    1114.223502
                  15 Sep 2026 14:33:18.000          225.045             23.890    1074.262191
                  15 Sep 2026 14:33:28.000          228.847             25.151    1037.971107
                  15 Sep 2026 14:33:38.000          232.988             26.349    1005.751290
                  15 Sep 2026 14:33:48.000          237.472             27.447     978.008812
                  15 Sep 2026 14:33:58.000          242.281             28.404     955.136281
                  15 Sep 2026 14:34:08.000          247.379             29.178     937.492119
                  15 Sep 2026 14:34:18.000          252.710             29.730     925.376643
                  15 Sep 2026 14:34:28.000          258.195             30.029     919.009000
                  15 Sep 2026 14:34:38.000          263.738             30.059     918.508448
                  15 Sep 2026 14:34:48.000          269.241             29.816     923.883547
                  15 Sep 2026 14:34:58.000          274.606             29.317     935.031187
                  15 Sep 2026 14:35:08.000          279.753             28.590     951.746119
                  15 Sep 2026 14:35:18.000          284.619             27.672     973.738594
                  15 Sep 2026 14:35:28.000          289.164             26.604    1000.657020
                  15 Sep 2026 14:35:38.000          293.370             25.430    1032.111964
                  15 Sep 2026 14:35:48.000          297.235             24.185    1067.697536
                  15 Sep 2026 14:35:58.000          300.769             22.902    1107.010394
                  15 Sep 2026 14:36:08.000          303.991             21.606    1149.662640
                  15 Sep 2026 14:36:18.000          306.923             20.317    1195.290890
                  15 Sep 2026 14:36:28.000          309.592             19.049    1243.561343
                  15 Sep 2026 14:36:38.000          312.021             17.812    1294.171833
