                                                                         15 Sep 2026 14:40:07
Civil Air Patrol Use Only
Facility-TASA-To-Satellite-tle-66750:  Inview Azimuth, Elevation, & Range


TASA-To-tle-66750 - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  15 Sep 2026 14:31:11.527          196.114             10.000    1706.014309
                  15 Sep 2026 14:31:21.000          197.248             10.920    1646.671203
                  15 Sep 2026 14:31:31.000          198.546             11.932    1584.877637
                  15 Sep 2026 14:31:41.000          199.957             12.990    1524.073389
                  15 Sep 2026 14:31:51.000          201.497             14.097    1464.389248
                  15 Sep 2026 14:32:01.000          203.183             15.253    1405.975247
                  15 Sep 2026 14:32:11.000          205.032             16.462    1349.003582
                  15 Sep 2026 14:32:21.000          207.067             17.724    1293.671790
                  15 Sep 2026 14:32:31.000          209.311             19.038    1240.206097
                  15 Sep 2026 14:32:41.000          211.792             20.400    1188.864728
                  15 Sep 2026 14:32:51.000          214.539             21.805    1139.940862
                  15 Sep 2026 14:33:01.000          217.583             23.241    1093.764685
                  15 Sep 2026 14:33:11.000          220.957             24.692    1050.703851
                  15 Sep 2026 14:33:21.000          224.692             26.135    1011.161297
                  15 Sep 2026 14:33:31.000          228.813             27.537     975.569267
                  15 Sep 2026 14:33:41.000          233.335             28.859     944.378097
                  15 Sep 2026 14:33:51.000          238.257             30.052     918.039970
                  15 Sep 2026 14:34:01.000          243.556             31.063     896.984686
                  15 Sep 2026 14:34:11.000          249.178             31.838     881.592520
                  15 Sep 2026 14:34:21.000          255.039             32.330     872.164267
                  15 Sep 2026 14:34:31.000          261.030             32.508     868.894216
                  15 Sep 2026 14:34:41.000          267.026             32.359     871.851017
                  15 Sep 2026 14:34:51.000          272.899             31.895     880.970543
                  15 Sep 2026 14:35:01.000          278.539             31.145     896.062459
                  15 Sep 2026 14:35:11.000          283.860             30.156     916.828997
                  15 Sep 2026 14:35:21.000          288.808             28.982     942.891766
                  15 Sep 2026 14:35:31.000          293.358             27.675     973.821494
                  15 Sep 2026 14:35:41.000          297.505             26.284    1009.166308
                  15 Sep 2026 14:35:51.000          301.266             24.850    1048.474327
                  15 Sep 2026 14:36:01.000          304.666             23.405    1091.311959
                  15 Sep 2026 14:36:11.000          307.734             21.974    1137.274479
                  15 Sep 2026 14:36:21.000          310.504             20.573    1185.992351
                  15 Sep 2026 14:36:31.000          313.006             19.213    1237.133541
                  15 Sep 2026 14:36:41.000          315.270             17.902    1290.403133
                  15 Sep 2026 14:36:51.000          317.324             16.641    1345.541309
