                                                                         15 Sep 2026 14:40:12
Civil Air Patrol Use Only
Facility-TASA-To-Satellite-tle-66760:  Inview Azimuth, Elevation, & Range


TASA-To-tle-66760 - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  15 Sep 2026 14:32:57.708          198.100             10.000    1704.230236
                  15 Sep 2026 14:33:07.000          199.285             10.887    1646.981514
                  15 Sep 2026 14:33:17.000          200.663             11.879    1586.297035
                  15 Sep 2026 14:33:27.000          202.160             12.913    1526.688478
                  15 Sep 2026 14:33:37.000          203.790             13.990    1468.294239
                  15 Sep 2026 14:33:47.000          205.570             15.112    1411.272229
                  15 Sep 2026 14:33:57.000          207.517             16.278    1355.802557
                  15 Sep 2026 14:34:07.000          209.653             17.489    1302.090353
                  15 Sep 2026 14:34:17.000          211.999             18.742    1250.368578
                  15 Sep 2026 14:34:27.000          214.580             20.031    1200.900594
                  15 Sep 2026 14:34:37.000          217.423             21.348    1153.982088
                  15 Sep 2026 14:34:47.000          220.554             22.680    1109.941840
                  15 Sep 2026 14:34:57.000          223.998             24.010    1069.140587
                  15 Sep 2026 14:35:07.000          227.779             25.313    1031.967093
                  15 Sep 2026 14:35:17.000          231.911             26.558     998.830284
                  15 Sep 2026 14:35:27.000          236.398             27.709     970.147653
                  15 Sep 2026 14:35:37.000          241.229             28.721     946.326830
                  15 Sep 2026 14:35:47.000          246.369             29.551     927.744453
                  15 Sep 2026 14:35:57.000          251.763             30.156     914.721175
                  15 Sep 2026 14:36:07.000          257.331             30.503     907.496955
                  15 Sep 2026 14:36:17.000          262.974             30.570     906.210330
                  15 Sep 2026 14:36:27.000          268.588             30.354     910.885604
                  15 Sep 2026 14:36:37.000          274.070             29.867     921.430341
                  15 Sep 2026 14:36:47.000          279.332             29.140     937.644198
                  15 Sep 2026 14:36:57.000          284.305             28.210     959.236728
                  15 Sep 2026 14:37:07.000          288.948             27.123     985.850953
                  15 Sep 2026 14:37:17.000          293.240             25.923    1017.088708
                  15 Sep 2026 14:37:27.000          297.176             24.648    1052.533431
                  15 Sep 2026 14:37:37.000          300.770             23.333    1091.770419
                  15 Sep 2026 14:37:47.000          304.040             22.006    1134.400664
                  15 Sep 2026 14:37:57.000          307.011             20.686    1180.050536
                  15 Sep 2026 14:38:07.000          309.710             19.389    1228.377177
                  15 Sep 2026 14:38:17.000          312.162             18.125    1279.070676
                  15 Sep 2026 14:38:27.000          314.394             16.900    1331.854005
                  15 Sep 2026 14:38:37.000          316.429             15.718    1386.481496
                  15 Sep 2026 14:38:47.000          318.288             14.581    1442.736477
                  15 Sep 2026 14:38:57.000          319.990             13.488    1500.428530
                  15 Sep 2026 14:39:07.000          321.553             12.439    1559.390633
                  15 Sep 2026 14:39:17.000          322.991             11.432    1619.476410
                  15 Sep 2026 14:39:27.000          324.318             10.465    1680.557557
                  15 Sep 2026 14:39:31.952          324.938             10.000    1711.136143

Min Elevation     15 Sep 2026 14:39:31.952          324.938             10.000    1711.136431
Max Elevation     15 Sep 2026 14:36:14.351          261.478             30.580     905.969574
Mean Elevation                                                          20.689               
Min Range         15 Sep 2026 14:36:14.158          261.369             30.580     905.968420
Max Range         15 Sep 2026 14:39:31.952          324.938             10.000    1711.136431
Mean Range                                                                        1227.313068

                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  16 Sep 2026 02:10:37.910           27.873             10.000    1712.935402
                  16 Sep 2026 02:10:47.000           28.713             10.919    1653.200980
                  16 Sep 2026 02:10:57.000           29.713             11.981    1588.066665
                  16 Sep 2026 02:11:07.000           30.805             13.099    1523.625740
                  16 Sep 2026 02:11:17.000           32.001             14.281    1459.979240
                  16 Sep 2026 02:11:27.000           33.317             15.531    1397.244893
                  16 Sep 2026 02:11:37.000           34.772             16.856    1335.560312
                  16 Sep 2026 02:11:47.000           36.387             18.263    1275.086846
                  16 Sep 2026 02:11:57.000           38.187             19.757    1216.014054
                  16 Sep 2026 02:12:07.000           40.205             21.344    1158.564926
                  16 Sep 2026 02:12:17.000           42.478             23.028    1103.001739
                  16 Sep 2026 02:12:27.000           45.049             24.808    1049.632366
                  16 Sep 2026 02:12:37.000           47.971             26.682     998.816607
                  16 Sep 2026 02:12:47.000           51.304             28.636     950.971678
                  16 Sep 2026 02:12:57.000           55.116             30.649     906.575451
                  16 Sep 2026 02:13:07.000           59.477             32.681     866.165347
                  16 Sep 2026 02:13:17.000           64.458             34.675     830.329813
                  16 Sep 2026 02:13:27.000           70.110             36.550     799.690265
                  16 Sep 2026 02:13:37.000           76.448             38.204     774.868235
                  16 Sep 2026 02:13:47.000           83.428             39.521     756.440982
                  16 Sep 2026 02:13:57.000           90.920             40.388     744.886730
                  16 Sep 2026 02:14:07.000           98.711             40.720     740.529863
                  16 Sep 2026 02:14:17.000          106.527             40.481     743.498581
                  16 Sep 2026 02:14:27.000          114.090             39.696     753.707015
                  16 Sep 2026 02:14:37.000          121.173             38.443     770.867391
                  16 Sep 2026 02:14:47.000          127.631             36.832     794.528326
                  16 Sep 2026 02:14:57.000          133.404             34.980     824.128425
                  16 Sep 2026 02:15:07.000          138.499             32.993     859.051035
                  16 Sep 2026 02:15:17.000          142.964             30.955     898.672750
                  16 Sep 2026 02:15:27.000          146.865             28.929     942.397201
                  16 Sep 2026 02:15:37.000          150.275             26.955     989.676388
                  16 Sep 2026 02:15:47.000          153.261             25.061    1040.020804
                  16 Sep 2026 02:15:57.000          155.885             23.258    1093.001753
                  16 Sep 2026 02:16:07.000          158.202             21.552    1148.248762
                  16 Sep 2026 02:16:17.000          160.256             19.943    1205.444421
                  16 Sep 2026 02:16:27.000          162.086             18.429    1264.318145
                  16 Sep 2026 02:16:37.000          163.724             17.004    1324.639814
                  16 Sep 2026 02:16:47.000          165.197             15.661    1386.214136
                  16 Sep 2026 02:16:57.000          166.528             14.395    1448.874026
                  16 Sep 2026 02:17:07.000          167.735             13.199    1512.477888
                  16 Sep 2026 02:17:17.000          168.834             12.067    1576.904396
                  16 Sep 2026 02:17:27.000          169.839             10.993    1642.049483
                  16 Sep 2026 02:17:36.726          170.737             10.000    1706.015000

Min Elevation     16 Sep 2026 02:10:37.910           27.873             10.000    1712.935402
Max Elevation     16 Sep 2026 02:14:07.824           99.357             40.722     740.497309
Mean Elevation                                                          24.660               
Min Range         16 Sep 2026 02:14:07.947           99.455             40.722     740.496723
Max Range         16 Sep 2026 02:10:37.910           27.873             10.000    1712.935402
Mean Range                                                                        1134.114509

                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  16 Sep 2026 14:13:51.162          178.262             10.000    1703.847023
                  16 Sep 2026 14:14:01.000          178.711             11.057    1635.918992
                  16 Sep 2026 14:14:11.000          179.210             12.196    1567.223812
                  16 Sep 2026 14:14:21.000          179.758             13.408    1498.943043
                  16 Sep 2026 14:14:31.000          180.364             14.703    1431.144986
                  16 Sep 2026 14:14:41.000          181.038             16.092    1363.910554
                  16 Sep 2026 14:14:51.000          181.790             17.589    1297.336236
                  16 Sep 2026 14:15:01.000          182.636             19.207    1231.537863
                  16 Sep 2026 14:15:11.000          183.596             20.966    1166.655400
                  16 Sep 2026 14:15:21.000          184.692             22.884    1102.859060
                  16 Sep 2026 14:15:31.000          185.957             24.987    1040.357070
                  16 Sep 2026 14:15:41.000          187.432             27.299     979.405479
