                                                                         15 Sep 2026 14:40:12
Civil Air Patrol Use Only
Facility-NTUT-To-Satellite-tle-66690:  Inview Azimuth, Elevation, & Range


NTUT-To-tle-66690 - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  15 Sep 2026 13:43:44.487          152.385             10.000    1707.898870
                  15 Sep 2026 13:43:54.000          151.745             11.001    1643.387655
                  15 Sep 2026 13:44:04.000          151.008             12.111    1576.031566
                  15 Sep 2026 13:44:14.000          150.199             13.287    1509.217449
                  15 Sep 2026 13:44:24.000          149.305             14.539    1443.029893
                  15 Sep 2026 13:44:34.000          148.313             15.874    1377.568464
                  15 Sep 2026 13:44:44.000          147.206             17.302    1312.950961
                  15 Sep 2026 13:44:54.000          145.963             18.834    1249.317432
                  15 Sep 2026 13:45:04.000          144.561             20.483    1186.835156
                  15 Sep 2026 13:45:14.000          142.969             22.262    1125.704715
                  15 Sep 2026 13:45:24.000          141.146             24.183    1066.167370
                  15 Sep 2026 13:45:34.000          139.044             26.259    1008.513825
                  15 Sep 2026 13:45:44.000          136.601             28.500     953.094286
                  15 Sep 2026 13:45:54.000          133.737             30.911     900.329381
                  15 Sep 2026 13:46:04.000          130.354             33.486     850.720851
                  15 Sep 2026 13:46:14.000          126.326             36.202     804.859760
                  15 Sep 2026 13:46:24.000          121.503             39.009     763.428454
                  15 Sep 2026 13:46:34.000          115.718             41.814     727.190373
                  15 Sep 2026 13:46:44.000          108.809             44.472     696.961779
                  15 Sep 2026 13:46:54.000          100.681             46.780     673.556502
                  15 Sep 2026 13:47:04.000           91.394             48.495     657.706919
                  15 Sep 2026 13:47:14.000           81.259             49.387     649.968505
                  15 Sep 2026 13:47:24.000           70.841             49.318     650.632200
                  15 Sep 2026 13:47:34.000           60.801             48.299     659.672937
                  15 Sep 2026 13:47:44.000           51.672             46.487     676.754359
                  15 Sep 2026 13:47:54.000           43.725             44.119     701.287468
                  15 Sep 2026 13:48:04.000           36.992             41.434     732.521360
                  15 Sep 2026 13:48:14.000           31.361             38.627     769.637525
                  15 Sep 2026 13:48:24.000           26.669             35.834     811.825063
                  15 Sep 2026 13:48:34.000           22.748             33.140     858.332018
                  15 Sep 2026 13:48:44.000           19.452             30.592     908.490086
                  15 Sep 2026 13:48:54.000           16.661             28.210     961.722531
                  15 Sep 2026 13:49:04.000           14.278             25.996    1017.540944
                  15 Sep 2026 13:49:14.000           12.226             23.947    1075.536431
                  15 Sep 2026 13:49:24.000           10.447             22.050    1135.368794
                  15 Sep 2026 13:49:34.000            8.891             20.293    1196.755692
                  15 Sep 2026 13:49:44.000            7.522             18.664    1259.462756
                  15 Sep 2026 13:49:54.000            6.309             17.149    1323.295063
                  15 Sep 2026 13:50:04.000            5.229             15.737    1388.089963
                  15 Sep 2026 13:50:14.000            4.261             14.416    1453.711185
                  15 Sep 2026 13:50:24.000            3.390             13.177    1520.044030
                  15 Sep 2026 13:50:34.000            2.603             12.011    1586.991472
                  15 Sep 2026 13:50:44.000            1.888             10.911    1654.471015
                  15 Sep 2026 13:50:52.717            1.316             10.000    1713.674837

Min Elevation     15 Sep 2026 13:50:52.717            1.316             10.000    1713.675168
Max Elevation     15 Sep 2026 13:47:18.298           76.777             49.478     649.218183
Mean Elevation                                                          27.400               
Min Range         15 Sep 2026 13:47:18.210           76.869             49.478     649.217885
Max Range         15 Sep 2026 13:50:52.717            1.316             10.000    1713.675168
Mean Range                                                                        1089.551316

                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  16 Sep 2026 02:56:01.120          347.943             10.000    1722.792590
                  16 Sep 2026 02:56:11.000          346.753             10.947    1661.232673
                  16 Sep 2026 02:56:21.000          345.444             11.946    1599.843651
                  16 Sep 2026 02:56:31.000          344.019             12.987    1539.496804
                  16 Sep 2026 02:56:41.000          342.463             14.073    1480.327349
                  16 Sep 2026 02:56:51.000          340.761             15.205    1422.489808
                  16 Sep 2026 02:57:01.000          338.893             16.385    1366.160749
                  16 Sep 2026 02:57:11.000          336.840             17.611    1311.541733
                  16 Sep 2026 02:57:21.000          334.578             18.883    1258.862295
                  16 Sep 2026 02:57:31.000          332.082             20.195    1208.382783
                  16 Sep 2026 02:57:41.000          329.325             21.540    1160.396661
                  16 Sep 2026 02:57:51.000          326.278             22.905    1115.231801
                  16 Sep 2026 02:58:01.000          322.915             24.275    1073.249984
                  16 Sep 2026 02:58:11.000          319.209             25.625    1034.843765
                  16 Sep 2026 02:58:21.000          315.141             26.925    1000.429591
                  16 Sep 2026 02:58:31.000          310.703             28.136     970.436079
                  16 Sep 2026 02:58:41.000          305.903             29.214     945.287866
                  16 Sep 2026 02:58:51.000          300.769             30.112     925.382539
                  16 Sep 2026 02:59:01.000          295.356             30.784     911.065761
                  16 Sep 2026 02:59:11.000          289.742             31.191     902.604711
                  16 Sep 2026 02:59:21.000          284.028             31.308     900.164963
                  16 Sep 2026 02:59:31.000          278.325             31.128     903.794949
                  16 Sep 2026 02:59:41.000          272.744             30.661     913.421216
                  16 Sep 2026 02:59:51.000          267.381             29.937     928.855492
                  16 Sep 2026 03:00:01.000          262.310             28.996     949.812151
                  16 Sep 2026 03:00:11.000          257.580             27.885     975.932317
                  16 Sep 2026 03:00:21.000          253.216             26.651    1006.810406
                  16 Sep 2026 03:00:31.000          249.220             25.336    1042.019381
                  16 Sep 2026 03:00:41.000          245.582             23.978    1081.131058
                  16 Sep 2026 03:00:51.000          242.282             22.606    1123.732888
