                                                                         15 Sep 2026 14:40:13
Civil Air Patrol Use Only
Facility-TASA-To-Satellite-tle-66690:  Inview Azimuth, Elevation, & Range


TASA-To-tle-66690 - AER reported in the object's default AER frame
------------------------------------------------------------------
                         Time (UTCG)          Azimuth (deg)    Elevation (deg)     Range (km)
                  ------------------------    -------------    ---------------    -----------
                  15 Sep 2026 13:43:44.858          149.987             10.000    1707.977484
                  15 Sep 2026 13:43:54.000          149.278             10.950    1646.664156
                  15 Sep 2026 13:44:04.000          148.434             12.043    1580.107010
                  15 Sep 2026 13:44:14.000          147.507             13.199    1514.161253
                  15 Sep 2026 13:44:24.000          146.485             14.425    1448.919596
                  15 Sep 2026 13:44:34.000          145.353             15.729    1384.490740
                  15 Sep 2026 13:44:44.000          144.094             17.119    1321.002696
                  15 Sep 2026 13:44:54.000          142.686             18.604    1258.606824
                  15 Sep 2026 13:45:04.000          141.103             20.193    1197.482726
                  15 Sep 2026 13:45:14.000          139.313             21.896    1137.844089
                  15 Sep 2026 13:45:24.000          137.275             23.721    1079.945579
                  15 Sep 2026 13:45:34.000          134.943             25.676    1024.090712
                  15 Sep 2026 13:45:44.000          132.256             27.763     970.640423
                  15 Sep 2026 13:45:54.000          129.141             29.978     920.021651
                  15 Sep 2026 13:46:04.000          125.511             32.305     872.734603
                  15 Sep 2026 13:46:14.000          121.264             34.710     829.356291
                  15 Sep 2026 13:46:24.000          116.289             37.135     790.536622
                  15 Sep 2026 13:46:34.000          110.478             39.487     756.983385
                  15 Sep 2026 13:46:44.000          103.753             41.637     729.428484
                  15 Sep 2026 13:46:54.000           96.113             43.422     708.576208
                  15 Sep 2026 13:47:04.000           87.679             44.667     695.033336
                  15 Sep 2026 13:47:14.000           78.732             45.226     689.233133
                  15 Sep 2026 13:47:24.000           69.680             45.028     691.371766
                  15 Sep 2026 13:47:34.000           60.960             44.098     701.376790
                  15 Sep 2026 13:47:44.000           52.921             42.552     718.919088
                  15 Sep 2026 13:47:54.000           45.758             40.559     743.463626
                  15 Sep 2026 13:48:04.000           39.524             38.289     774.342512
                  15 Sep 2026 13:48:14.000           34.169             35.890     810.828704
                  15 Sep 2026 13:48:24.000           29.595             33.470     852.198485
                  15 Sep 2026 13:48:34.000           25.691             31.105     897.772444
                  15 Sep 2026 13:48:44.000           22.348             28.838     946.938703
                  15 Sep 2026 13:48:54.000           19.474             26.693     999.161603
                  15 Sep 2026 13:49:04.000           16.988             24.679    1053.981010
                  15 Sep 2026 13:49:14.000           14.824             22.795    1111.006434
                  15 Sep 2026 13:49:24.000           12.929             21.037    1169.908839
                  15 Sep 2026 13:49:34.000           11.259             19.397    1230.411954
                  15 Sep 2026 13:49:44.000            9.779             17.866    1292.284012
                  15 Sep 2026 13:49:54.000            8.461             16.434    1355.330732
                  15 Sep 2026 13:50:04.000            7.281             15.092    1419.387677
                  15 Sep 2026 13:50:14.000            6.218             13.831    1484.316888
                  15 Sep 2026 13:50:24.000            5.258             12.643    1550.001169
                  15 Sep 2026 13:50:34.000            4.387             11.522    1616.340773
                  15 Sep 2026 13:50:44.000            3.593             10.460    1683.250420
                  15 Sep 2026 13:50:48.503            3.258             10.000    1713.544345

Min Elevation     15 Sep 2026 13:50:48.503            3.258             10.000    1713.544388
Max Elevation     15 Sep 2026 13:47:16.406           76.547             45.249     689.020639
Mean Elevation                                                          25.958               
Min Range         15 Sep 2026 13:47:16.313           76.631             45.249     689.020284
Max Range         15 Sep 2026 13:50:48.503            3.258             10.000    1713.544388
Mean Range                                                                        1115.453977

